,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Comment,Name,Repository,URL / DAG_ID,Type,Type Details,Optional,Base branch,Responsible (internal),Responsible (community),API Spec,Documentation,Postman Collection,Storage,SQL,Datastore,Elasticsearch,Image prefix,Container Name / Path to storage,Version variable
,Dataset,https://community.opengroup.org/osdu/platform/system/dataset,DATASET_HOST,service,core,mandatory,master,Java L3 Support,,docs/dataset.swagger.yaml,https://osdu.pages.opengroup.org/platform/system/dataset/,Postman%20Collection/36_CICD_R3_Dataset/Dataset%20API%20CI-CD%20v3.0.postman_collection.json,"{gc_project_id}-{data_partition_id}-staging-area
{gc_project_id}-{data_partition_id}-persistent-area",,,,dataset,dataset,dataset_svc_version
,Entitlements,https://community.opengroup.org/osdu/platform/security-and-compliance/entitlements,ENTITLEMENTS_HOST,service,core,mandatory,master,Java L3 Support,,docs/api/entitlements_openapi.yaml,https://osdu.pages.opengroup.org/platform/security-and-compliance/entitlements/,Postman%20Collection/14_CICD_Setup_EntitlementAPI/Entitlement%20API%20CI-CD%20v2.0.postman_collection.json,,"system
{data_partition_id}
entitlements",,,entitlements,entitlements,entitlements_svc_version
,File,https://community.opengroup.org/osdu/platform/system/file,FILE_HOST,service,core,mandatory,master,Java L3 Support,,docs/file-service_openapi.yaml,https://community.opengroup.org/osdu/platform/system/file/-/blob/master/README.md,Postman%20Collection/21_CICD_Setup_FileAPI/FileAPI%20UploadDownload%20CI-CD%20v3.0.postman_collection.json,{gc_project_id}-{data_partition_id}-staging-area,,osdu:file-locations-osm,,file,file,file_svc_version
,Indexer,https://community.opengroup.org/osdu/platform/system/indexer-service,INDEXER_HOST,service,core,mandatory,master,Java L3 Support,,,https://osdu.pages.opengroup.org/platform/system/indexer-service/,Dev/23_CICD_Setup_IndexerAPI/Indexer%20API%20CI-CD%20v1.0.postman_collection.json,,,,,indexer,indexer,indexer_svc_version
,Legal,https://community.opengroup.org/osdu/platform/security-and-compliance/legal,LEGAL_HOST,service,core,mandatory,master,Java L3 Support,,docs/api/legal_openapi.yaml,https://osdu.pages.opengroup.org/platform/security-and-compliance/legal/,Postman%20Collection/11_CICD_Setup_LegalAPI/Compliance_Legal%20API%20CI-CD%20v2.2.postman_collection.json,{gc_project_id}-{data_partition_id}-legal-config,,osdu:LegalTagOsm,,legal,legal,legal_svc_version
,Notification,https://community.opengroup.org/osdu/platform/system/notification,NOTIFICATION_HOST,service,core,mandatory,master,Java L3 Support,,docs/api/notification_openapi.yaml,https://osdu.pages.opengroup.org/platform/system/notification/,Dev/17_CICD_Setup_NotificationAPI/Notification_API_CI-CD_v1.0.postman_collection.json,,,,,notification,notification,notification_svc_version
,Partition,https://community.opengroup.org/osdu/platform/system/partition,PARTITION_HOST,service,core,mandatory,master,Java L3 Support,,docs/api/partition_openapi.yaml,https://osdu.pages.opengroup.org/platform/system/partition/,Dev/24_CICD_Setup_PartitionAPI/Partition%20API%20CI-CD%20v1.0.postman_collection.json,,,"partition:all
osdu:authority
organization-:all",,partition,partition,partition_svc_version
,Policy,https://community.opengroup.org/osdu/platform/security-and-compliance/policy,POLICY_HOST,service,core,optional,master,Yan,,docs/openapi.yaml,https://osdu.pages.opengroup.org/platform/security-and-compliance/policy/,,{gc_project_id}-opa-policies,,,,policy,policy,policy_svc_version
,Register,https://community.opengroup.org/osdu/platform/system/register,REGISTRATION_HOST,service,core,mandatory,master,Java L3 Support,,docs/api/register_openapi.yaml,https://osdu.pages.opengroup.org/platform/system/register/,Postman%20Collection/22_CICD_Setup_RegistrationAPI/Registration%20API%20CI-CD%20v1.0.postman_collection.json,,,,,register,register,register_svc_version
,Schema,https://community.opengroup.org/osdu/platform/system/schema-service,SCHEMA_HOST,service,core,mandatory,master,Java L3 Support,,docs/api/schema_openapi.yaml,https://osdu.pages.opengroup.org/platform/system/schema-service/,Postman%20Collection/25_CICD_Setup_SchemaAPI/Schema%20API%20CI-CD%20v1.0.postman_collection.json,"{gc_project_id}-{data_partition_id}-schema
{gc_project_id}-{data_partition_id}-system-schema",,"dataecosystem:all
osdu:schema_osm",,schema,schema,schema_svc_version
,Search,https://community.opengroup.org/osdu/platform/system/search-service,SEARCH_HOST,service,core,mandatory,master,Java L3 Support,,docs/api/search_openapi.yaml,https://osdu.pages.opengroup.org/platform/system/search-service/,"Postman%20Collection/37_CICD_R3_SearchAPI/Search%20API%20R3%20CI-CD%20v1.0.postman_collection.json,Postman%20Collection/37_CICD_R3_SearchAPI/Search%20API%20R3%20CI-CD%20v2.0.postman_collection.json",,,,,search,search,search_svc_version
,Secret,https://community.opengroup.org/osdu/platform/security-and-compliance/secret,SECRET_HOST,service,core,mandatory,main,Java L3 Support,,docs/api/v2_openapi.json,https://osdu.pages.opengroup.org/platform/security-and-compliance/secret/,Postman%20Collection/48_CICD_Setup_SecretService_V1/Secret%20Service%20V1.postman_collection.json,,,,,secret,secret,secret_svc_version
,Storage,https://community.opengroup.org/osdu/platform/system/storage,STORAGE_HOST,service,core,mandatory,master,Java L3 Support,,docs/api/storage_openapi.yaml,https://osdu.pages.opengroup.org/platform/system/storage/api/,Postman%20Collection/12_CICD_Setup_StorageAPI/Storage%20API%20CI-CD%20v2.0.postman_collection.json,{gc_project_id}-{data_partition_id}-records,,osdu:StorageRecord,,storage,storage,storage_svc_version
,OPA,,,service,core,optional,,,,,,,{gc_project_id}-{data_partition_id}-opa-policies,,,,,opa,
,Project & Workflow,https://community.opengroup.org/osdu/platform/system/project-and-workflow,/api/pws/v1,service,core,optional,main,Java L3 Support,,docsapi/openapi.yaml,https://community.opengroup.org/osdu/platform/system/project-and-workflow/-/tree/main/docs/docs?ref_type=heads,,,,,,,,
,Workflow,https://community.opengroup.org/osdu/platform/data-flow/ingestion/ingestion-workflow,WORKFLOW_HOST,service,dataflow,mandatory,master,Java L3 Support,,docs/api/openapi.workflow.yaml,https://community.opengroup.org/osdu/platform/data-flow/ingestion/ingestion-workflow/-/blob/master/README.md,"Postman%20Collection/30_CICD_Setup_WorkflowAPI/Workflow__CI-CD_v1.0.postman_collection.json,Postman%20Collection/32_CICD_R3_WellDataWorkflow/Well%20R3%20CI-CD%20v1.0.postman_collection.json,Postman%20Collection/35_CICD_R3_WellLogWorkflow/Ingest%20WellLog%20using%20LAS%20File%20CI-CD%20v1.0.postman_collection.json,Postman%20Collection/35_CICD_R3_WellLogWorkflow/WellLog%20R3%20CI-CD%20v1.0.postman_collection.json",,,"osdu:workflow_osm
osdu:workflow_run_osm
system-workflow-namespace:all",,workflow,workflow,workflow_svc_version
,EDS,https://community.opengroup.org/osdu/platform/data-flow/ingestion/external-data-sources/eds-dms,/api/eds/v1,service,external_data,optional,master,Java L3 Support,,doc/api/eds_dms_openapi_v3.yaml,https://osdu.pages.opengroup.org/platform/data-flow/ingestion/osdu-airflow-lib/,,,,,,eds-dms,eds-dms,eds_dms_svc_version
,CRS Conversion,https://community.opengroup.org/osdu/platform/system/reference/crs-conversion-service,CRS_CONVERSION_HOST_V3,service,reference_system,mandatory,master,Java L3 Support,,docs/api/openapi.yaml,https://community.opengroup.org/osdu/platform/system/reference/crs-conversion-service/-/blob/master/docs/v3/tutorial/CRS_Convert_Service_howto.md,"Postman%20Collection/18_CICD_Setup_CRSConversionAPI/CRS%20Conversion%20API%20CI-CD%20v1.0.postman_collection.json,Postman%20Collection/18_CICD_Setup_CRSConversionAPI/CRS%20Conversion%20Service%20V3%20CI-CD%20v1.0.postman_collection.json",,,,,crs-conversion,crs-conversion,crs_conversion_svc_version
,CRS Catalog,https://community.opengroup.org/osdu/platform/system/reference/crs-catalog-service,CRSCatalog_HOST,service,reference_system,mandatory,master,Java L3 Support,,docs/api_spec/crs-catalog-openapi-v3.yaml,https://community.opengroup.org/osdu/platform/system/reference/crs-catalog-service/-/blob/master/docs/tutorial/CRS_Catalog_Service.md,"Postman%20Collection/16_CICD_Setup_%20CRSCatalogServiceAPI/CRS%20Catalog%20Service%20API%20V3%20CI-CD%20v1.0.postman_collection.json,Postman%20Collection/16_CICD_Setup_%20CRSCatalogServiceAPI/CRS%20Catalog%20Service%20API%20V3%20CI-CD%20v1.0.postman_collection.json",,,,,crs-catalog-service,crs-catalog,crs_catalog_svc_version
,Unit,https://community.opengroup.org/osdu/platform/system/reference/unit-service,UNIT_HOST,service,reference_system,mandatory,master,Java L3 Support,,docs/v3/api_spec/unit_service_openapi_v3.json,https://community.opengroup.org/osdu/platform/system/reference/unit-service/-/tree/master/docs,Postman%20Collection/20_CICD_Setup_UnitAPI/Unit%20CI-CD%20v1.0.postman_collection.json,,,,,unit,unit,unit_svc_version
,Schema Upgrade,https://community.opengroup.org/osdu/platform/system/reference/schema-upgrade,/api/schemaupgrade/v2,service,reference_system,optional,main,Java L3 Support,,Docs/openapi.json,https://osdu.pages.opengroup.org/platform/system/reference/schema-upgrade/,,,,,,schema-upgrade,schema-upgrade,schema_upgrade_svc_version
,Seismic,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/seismic/seismic-dms-suite/seismic-store-service,SEISMICDMS_HOST,service,ddms,mandatory,master,Yan,,app/sdms/docs/api/openapi.yaml,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/seismic/home/-/tree/master/docs,"Postman%20Collection/39_CICD_R3_Seismic/Seismic%20R3%20CI-CD%20v1.0.postman_collection.json,Dev/27_CICD_Setup_SeismicDMSAPI/SeismicDMS%20API%20CI-CD%20v2.0.postman_collection.json",{gc_project_id}-{data_partition_id}-ss-seismic,,seismic-store--{data_partition_id}:all,,seismic-store,seismic-store,seismic_store_svc_version
,Wellbore,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/wellbore/wellbore-domain-services,WELLBORE_DDMS_HOST,service,ddms,mandatory,master,Yan,,spec/generated/openapi.json,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/wellbore/wellbore-domain-services/-/tree/master/docs,"Postman%20Collection/28_CICD_Setup_WellboreDDMSAPI/Wellbore%20DDMS%20CI-CD%20v3.0.postman_collection.json,Postman%20Collection/33_CICD_R3_WellboreWorkflow/Wellbore%20R3%20CI-CD%20v1.0.postman_collection.json,Postman%20Collection/34_CICD_R3_MarkersWorkflow/WellboreMarker%20R3%20CI-CD%20v1.0.postman_collection.json",{gc_project_id}-{data_partition_id}-wellbore,,,,wellbore,wellbore,wellbore_svc_version
,Well Delivery,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/well-delivery/well-delivery,welldeliveryURL,service,ddms,mandatory,master,Java L3 Support,,docs/api/swagger.yaml,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/well-delivery/well-delivery/-/tree/master/docs,"Postman%20Collection/38_CICD_R3_TrajectoryWorkflow/Trajectory%20R3%20CI-CD%20v1.0.postman_collection.json,Postman%20Collection/44_CICD_Well_Delivery_DMS/WellDelivery%20DDMS%20CI-CD%20v3.1.postman_collection.json",,well-delivery,,,well-delivery,well-delivery,well_delivery_svc_version
,Reservoir Open ETP Server,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/reservoir/open-etp-server,RESERVOIR_DDMS_HOST,service,ddms,mandatory,main,Yan,"@Fabien Bosquet [AspenTech], EPAM OSDU Release Status",swagger.json,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/reservoir/home/-/blob/main/ReleaseNotes.md,Postman%20Collection/45_CICD_Reservoir_DDMS/Reservoir%20DDMS%20CI-CD%20v3.0.postman_collection_NotRun.json,,oetp-server,,,oetp-server,oetp-server,oetp_server_svc_version
,Reservoir Open ETP Client,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/reservoir/open-etp-client,RESERVOIR_DDMS_HOST,service,ddms,mandatory,main,Yan,"@Fabien Bosquet [AspenTech], EPAM OSDU Release Status",swagger.json,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/reservoir/home/-/blob/main/ReleaseNotes.md,,,,,,oetp-client,oetp-client,oetp_client_svc_version
,Rock & Fluid DDMS,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/rock-and-fluid-sample/rafs-ddms-services,/api/rafs-ddms,service,ddms,mandatory,main,Yan,"Michael Jones
@Olivier Marche (SLB)",docs/spec/openapi.json,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/rock-and-fluid-sample/rafs-ddms-services/-/blob/main/docs/tutorial/readme.md,"Dev/48_CICD_Setup_RAFSDDMSAPI/RAFSDDMS_API_CI-CD_v1.0.postman_collection.json,Dev/48_CICD_Setup_RAFSDDMSAPI/RAFSDDMS_Reference_Data_Ingestion_Manifests.postman_collection.json",,,,,rafs-ddms,rafs-ddms,rafs_svc_version
,Production Historian,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/production/historian,,service,ddms,optional,master,-,,,https://osdu.pages.opengroup.org/platform/domain-data-mgmt-services/production/historian/services/pddms-timeseries/,Dev/50_CICD_Production_Historian_DDMS/OSDU%20PDDMS%20M25%20Tests%20-%20Smoke%20Test%20R0.0.9.postman_collection.json,,,,,,,
,Production Core,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/production/core/dspdm-services,/api/dspdm/v1,service,ddms,optional,master,Java L3 Support,@Asan Arifov,docs/Swagger-API.json,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/production/core/dspdm-services/-/blob/main/docs/README.adoc?ref_type=heads,,,"dspdm_data_model_osdu
dspdm_service_db_osdu",,,dspdm,dspdm,dspdm_svc_version
,Wellbore worker,https://community.opengroup.org/osdu/platform/domain-data-mgmt-services/wellbore/wellbore-domain-services-worker,,service,ddms,optional,main,Yan,,,,,,,,,wellbore-worker,wellbore-worker,wellbore_worker_svc_version
,GCZ provider,https://community.opengroup.org/osdu/platform/consumption/geospatial,,service,consumption_zone,mandatory,main,Java L3 Support,@Levi Remington [ESRI],docs/api/openapi.yaml,https://community.opengroup.org/osdu/platform/consumption/geospatial/-/tree/master/docs,,,,,,provider,gcz-provider-pod,gcz_svc_version
,GCZ transformer,https://community.opengroup.org/osdu/platform/consumption/geospatial,/gcz/transformer/admin,service,consumption_zone,mandatory,main,Java L3 Support,@Levi Remington [ESRI],docs/api/openapi.yaml,https://community.opengroup.org/osdu/platform/consumption/geospatial/-/tree/master/docs,,,,,,transformer,gcz-transformer-pod,gcz_svc_version
,AdminUI,https://community.opengroup.org/osdu/ui/admin-ui-group/admin-ui-totalenergies/admin-ui-totalenergies,/,service,extra,optional,main,Yauhen,,,,,,,,,admin-ui,admin-ui,admin_ui_svc_version
,Config,https://community.opengroup.org/osdu/platform/deployment-and-operations/config-service,/api/config/v1,service,extra,mandatory,main,Yan,,,,,,,,,config,config,config_svc_version
,CSV Parser DAG,https://community.opengroup.org/osdu/platform/data-flow/ingestion/csv-parser/csv-parser,csv_parsing_dag_name,dag,dataflow,optional,master,Yan,,,https://community.opengroup.org/osdu/platform/data-flow/ingestion/csv-parser/csv-parser/-/wikis/home,Postman%20Collection/31_CICD_Setup_CSVIngestion/CSVWorkflow_CI-CD_v2.0.postman_collection.json,,,,,,dags/csv-parser/csv_ingestion_all_steps.py,csv_parser_version
